========================================================================
  한화리조트 예약가능 객실 현황
  수집일시 : 2026-06-15 01:12:11
  수집기간 : 2026년 06월 ~ 2026년 08월
  대상리조트: 설악 쏘라노, 설악 별관, 용인베잔송, 산정호수 안시, 대천 파로스, 경주 에톤, 경주 담톤, 제주, 평창, 거제 벨버디어, 거제 르 씨엘, 여수 벨메르, 더플라자 호텔, 브리드호텔 양양, 마티에 오시리아, 해운대
========================================================================

────────────────────────────────────────────────────────────────────────
  ■ 설악 쏘라노
────────────────────────────────────────────────────────────────────────

  [2026.06 15 (월)]
    ○ 디럭스(모던)                        | 예약가능:   97실
    ○ 디럭스                            | 예약가능:  160실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   16실
    ○ 디럭스(트윈베드)                      | 예약가능:   18실
    ○ 디럭스(트윈베드_호텔형)                  | 예약가능:    6실
    ○ 디럭스(원룸)                        | 예약가능:   34실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   42실
    ○ 디럭스(티니핑 프린세스룸_호텔형)             | 예약가능:    1실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    4실
    ○ 로얄(모던)                         | 예약가능:    5실
    ○ 로얄(유러피언_호텔형)                   | 예약가능:    1실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:   18실

  [2026.06 16 (화)]
    ○ 디럭스(모던)                        | 예약가능:  114실
    ○ 디럭스                            | 예약가능:  166실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   13실
    ○ 디럭스(트윈베드)                      | 예약가능:   31실
    ○ 디럭스(트윈베드_호텔형)                  | 예약가능:    6실
    ○ 디럭스(원룸)                        | 예약가능:   37실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   40실
    ○ 디럭스(티니핑 프린세스룸_호텔형)             | 예약가능:    4실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    7실
    ○ 디럭스(티니핑 슈팅스타룸_호텔형)             | 예약가능:    4실
    ○ 로얄(모던)                         | 예약가능:    1실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:   19실

  [2026.06 17 (수)]
    ○ 디럭스(모던)                        | 예약가능:  117실
    ○ 디럭스                            | 예약가능:  201실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   17실
    ○ 디럭스(트윈베드)                      | 예약가능:   32실
    ○ 디럭스(트윈베드_호텔형)                  | 예약가능:    5실
    ○ 디럭스(원룸)                        | 예약가능:   38실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   43실
    ○ 디럭스(티니핑 프린세스룸_호텔형)             | 예약가능:    3실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    6실
    ○ 디럭스(티니핑 슈팅스타룸_호텔형)             | 예약가능:    4실
    ○ 로얄                             | 예약가능:    3실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:   20실

  [2026.06 18 (목)]
    ○ 디럭스(모던)                        | 예약가능:   52실
    ○ 디럭스                            | 예약가능:  157실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   12실
    ○ 디럭스(트윈베드)                      | 예약가능:   30실
    ○ 디럭스(트윈베드_호텔형)                  | 예약가능:    7실
    ○ 디럭스(원룸)                        | 예약가능:   38실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   42실
    ○ 디럭스(티니핑 프린세스룸_호텔형)             | 예약가능:    3실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    5실
    ○ 로얄                             | 예약가능:    1실
    ○ 로얄(모던)                         | 예약가능:    2실
    ○ 로얄(유러피언_호텔형)                   | 예약가능:    1실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:   19실

  [2026.06 19 (금)]
    ○ 디럭스(모던)                        | 예약가능:   27실
    ○ 디럭스                            | 예약가능:   48실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:    1실
    ○ 디럭스(트윈베드)                      | 예약가능:    5실
    ○ 디럭스(트윈베드_호텔형)                  | 예약가능:    1실
    ○ 디럭스(원룸)                        | 예약가능:   25실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   35실
    ○ 디럭스(티니핑 프린세스룸_호텔형)             | 예약가능:    1실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    1실
    ○ 로얄                             | 예약가능:    1실
    ○ 로얄(모던)                         | 예약가능:    2실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:   16실

  [2026.06 20 (토)]
    ○ 디럭스(모던)                        | 예약가능:   17실
    ○ 디럭스                            | 예약가능:    8실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:    3실
    ○ 디럭스(트윈베드)                      | 예약가능:    5실
    ○ 디럭스(원룸)                        | 예약가능:    7실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   18실
    ○ 로얄                             | 예약가능:    5실
