[롯데] 2026년 07월 예약가능 잔여객실 현황
수집일시: 2026-07-13 18:05
==================================================

■ 지점명: 롯데리조트 부여 (충청)
  - 2026년 07월 13일 (월요일) | 캐릭터 패밀리 빼빼로 B형 | 예약가능 (1실) | 요금: 298000
  - 2026년 07월 13일 (월요일) | 콘도 스위트 트윈 | 예약가능 (6실) | 요금: 279000
  - 2026년 07월 13일 (월요일) | 콘도 패밀리 더블 | 예약가능 (4실) | 요금: 261000
  - 2026년 07월 13일 (월요일) | 콘도 프레지덴셜 트윈 | 예약가능 (3실) | 요금: 410000
  - 2026년 07월 13일 (월요일) | 클린 디럭스 트리플 | 예약가능 (1실) | 요금: 242000
  - 2026년 07월 13일 (월요일) | 클린 디럭스 한실 트윈 | 예약가능 (2실) | 요금: 247000
  - 2026년 07월 13일 (월요일) | 클린 스위트 더블 | 예약가능 (3실) | 요금: 279000
  - 2026년 07월 13일 (월요일) | 클린 스위트 멀티 | 예약가능 (6실) | 요금: 279000
  - 2026년 07월 13일 (월요일) | 클린 스위트 트윈 | 예약가능 (2실) | 요금: 279000
  - 2026년 07월 13일 (월요일) | 클린 패밀리 분리형 | 예약가능 (7실) | 요금: 261000
  - 2026년 07월 13일 (월요일) | 클린 패밀리 원룸형 배리어프리 | 예약가능 (2실) | 요금: 261000
  - 2026년 07월 14일 (화요일) | 캐릭터 패밀리 빼빼로 A형 | 예약가능 (1실) | 요금: 279000
  - 2026년 07월 14일 (화요일) | 콘도 스위트 더블 | 예약가능 (2실) | 요금: 261000
  - 2026년 07월 14일 (화요일) | 콘도 스위트 트윈 | 예약가능 (2실) | 요금: 261000
  - 2026년 07월 14일 (화요일) | 콘도 패밀리 더블 | 예약가능 (1실) | 요금: 242000
  - 2026년 07월 14일 (화요일) | 콘도 패밀리 트윈 | 예약가능 (4실) | 요금: 242000
  - 2026년 07월 14일 (화요일) | 콘도 프레지덴셜 트윈 | 예약가능 (3실) | 요금: 391000
  - 2026년 07월 14일 (화요일) | 클린 디럭스 트윈 | 예약가능 (1실) | 요금: 214000
  - 2026년 07월 14일 (화요일) | 클린 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 224000
  - 2026년 07월 14일 (화요일) | 클린 디럭스 한실 트윈 | 예약가능 (2실) | 요금: 228000
  - 2026년 07월 14일 (화요일) | 클린 스위트 더블 | 예약가능 (5실) | 요금: 261000
  - 2026년 07월 14일 (화요일) | 클린 스위트 멀티 | 예약가능 (9실) | 요금: 261000
  - 2026년 07월 14일 (화요일) | 클린 스위트 트윈 | 예약가능 (6실) | 요금: 261000
  - 2026년 07월 14일 (화요일) | 클린 패밀리 분리형 | 예약가능 (4실) | 요금: 242000
  - 2026년 07월 14일 (화요일) | 클린 패밀리 원룸형 | 예약가능 (2실) | 요금: 242000
  - 2026년 07월 15일 (수요일) | 캐릭터 패밀리 빼빼로 B형 | 예약가능 (1실) | 요금: 345000
  - 2026년 07월 15일 (수요일) | 콘도 프레지덴셜 트윈 | 예약가능 (1실) | 요금: 456000
  - 2026년 07월 16일 (목요일) | 콘도 스위트 트윈 | 예약가능 (2실) | 요금: 354000
  - 2026년 07월 16일 (목요일) | 콘도 패밀리 트윈 | 예약가능 (2실) | 요금: 335000
  - 2026년 07월 16일 (목요일) | 콘도 프레지덴셜 트윈 | 예약가능 (2실) | 요금: 484000
  - 2026년 07월 16일 (목요일) | 클린 스위트 더블 | 예약가능 (1실) | 요금: 354000
  - 2026년 07월 16일 (목요일) | 클린 스위트 멀티 | 예약가능 (2실) | 요금: 354000
  - 2026년 07월 16일 (목요일) | 클린 스위트 트윈 | 예약가능 (2실) | 요금: 354000
  - 2026년 07월 16일 (목요일) | 클린 패밀리 원룸형 배리어프리 | 예약가능 (1실) | 요금: 335000
  - 2026년 07월 17일 (금요일) | 캐릭터 패밀리 말랑이 A형 | 예약가능 (1실) | 요금: 526000
  - 2026년 07월 18일 (토요일) | 캐릭터 스위트 말랑이 | 예약가능 (1실) | 요금: 558000
  - 2026년 07월 18일 (토요일) | 클린 디럭스 트리플 | 예약가능 (1실) | 요금: 438000
  - 2026년 07월 18일 (토요일) | 클린 디럭스 트윈 | 예약가능 (1실) | 요금: 419000
  - 2026년 07월 18일 (토요일) | 클린 스위트 더블 | 예약가능 (1실) | 요금: 507000
  - 2026년 07월 19일 (일요일) | 캐릭터 스위트 말랑이 | 예약가능 (1실) | 요금: 419000
  - 2026년 07월 19일 (일요일) | 캐릭터 스위트 빼빼로 | 예약가능 (1실) | 요금: 419000
  - 2026년 07월 19일 (일요일) | 캐릭터 패밀리 말랑이 A형 | 예약가능 (1실) | 요금: 377000
  - 2026년 07월 19일 (일요일) | 콘도 스위트 더블 | 예약가능 (1실) | 요금: 368000
  - 2026년 07월 19일 (일요일) | 콘도 패밀리 더블 | 예약가능 (1실) | 요금: 335000
  - 2026년 07월 19일 (일요일) | 콘도 패밀리 트윈 | 예약가능 (1실) | 요금: 335000
  - 2026년 07월 19일 (일요일) | 콘도 프레지덴셜 트윈 | 예약가능 (3실) | 요금: 503000
  - 2026년 07월 19일 (일요일) | 클린 디럭스 더블 | 예약가능 (1실) | 요금: 279000
  - 2026년 07월 19일 (일요일) | 클린 디럭스 트윈 | 예약가능 (6실) | 요금: 279000
  - 2026년 07월 19일 (일요일) | 클린 로얄 A형 | 예약가능 (1실) | 요금: 642000
  - 2026년 07월 19일 (일요일) | 클린 스위트 더블 | 예약가능 (7실) | 요금: 368000
  - 2026년 07월 19일 (일요일) | 클린 스위트 멀티 | 예약가능 (15실) | 요금: 368000
  - 2026년 07월 19일 (일요일) | 클린 스위트 트윈 | 예약가능 (10실) | 요금: 368000
  - 2026년 07월 19일 (일요일) | 클린 패밀리 원룸형 | 예약가능 (2실) | 요금: 335000
  - 2026년 07월 19일 (일요일) | 클린 패밀리 원룸형 배리어프리 | 예약가능 (2실) | 요금: 335000
  - 2026년 07월 19일 (일요일) | 클린 프레지덴셜 패밀리트윈 | 예약가능 (1실) | 요금: 503000
  - 2026년 07월 20일 (월요일) | 캐릭터 스위트 빼빼로 | 예약가능 (1실) | 요금: 400000
  - 2026년 07월 20일 (월요일) | 캐릭터 패밀리 말랑이 A형 | 예약가능 (1실) | 요금: 359000
  - 2026년 07월 20일 (월요일) | 캐릭터 패밀리 말랑이 B형 | 예약가능 (1실) | 요금: 359000
  - 2026년 07월 20일 (월요일) | 캐릭터 패밀리 빼빼로 B형 | 예약가능 (1실) | 요금: 359000
  - 2026년 07월 20일 (월요일) | 콘도 스위트 더블 | 예약가능 (1실) | 요금: 349000
  - 2026년 07월 20일 (월요일) | 콘도 스위트 트윈 | 예약가능 (2실) | 요금: 349000
  - 2026년 07월 20일 (월요일) | 콘도 패밀리 더블 | 예약가능 (1실) | 요금: 317000
  - 2026년 07월 20일 (월요일) | 콘도 패밀리 트윈 | 예약가능 (6실) | 요금: 317000
  - 2026년 07월 20일 (월요일) | 콘도 프레지덴셜 트윈 | 예약가능 (1실) | 요금: 484000
  - 2026년 07월 20일 (월요일) | 클린 디럭스 트리플 | 예약가능 (1실) | 요금: 279000
  - 2026년 07월 20일 (월요일) | 클린 디럭스 트윈 | 예약가능 (7실) | 요금: 261000
  - 2026년 07월 20일 (월요일) | 클린 디럭스 패밀리트윈 | 예약가능 (5실) | 요금: 279000
  - 2026년 07월 20일 (월요일) | 클린 디럭스 한실 트윈 | 예약가능 (3실) | 요금: 289000
  - 2026년 07월 20일 (월요일) | 클린 로얄 A형 | 예약가능 (1실) | 요금: 624000
  - 2026년 07월 20일 (월요일) | 클린 스위트 더블 | 예약가능 (9실) | 요금: 349000
  - 2026년 07월 20일 (월요일) | 클린 스위트 멀티 | 예약가능 (15실) | 요금: 349000
  - 2026년 07월 20일 (월요일) | 클린 스위트 트윈 | 예약가능 (7실) | 요금: 349000
  - 2026년 07월 20일 (월요일) | 클린 패밀리 분리형 | 예약가능 (3실) | 요금: 317000
  - 2026년 07월 20일 (월요일) | 클린 패밀리 원룸형 | 예약가능 (2실) | 요금: 317000
  - 2026년 07월 20일 (월요일) | 클린 패밀리 원룸형 배리어프리 | 예약가능 (2실) | 요금: 317000
  - 2026년 07월 21일 (화요일) | 캐릭터 패밀리 말랑이 A형 | 예약가능 (1실) | 요금: 359000
  - 2026년 07월 21일 (화요일) | 캐릭터 패밀리 말랑이 B형 | 예약가능 (1실) | 요금: 359000
  - 2026년 07월 21일 (화요일) | 캐릭터 패밀리 빼빼로 A형 | 예약가능 (1실) | 요금: 359000
  - 2026년 07월 21일 (화요일) | 캐릭터 패밀리 빼빼로 B형 | 예약가능 (1실) | 요금: 359000
  - 2026년 07월 21일 (화요일) | 콘도 스위트 더블 | 예약가능 (2실) | 요금: 349000
  - 2026년 07월 21일 (화요일) | 콘도 스위트 트윈 | 예약가능 (2실) | 요금: 349000
  - 2026년 07월 21일 (화요일) | 콘도 패밀리 더블 | 예약가능 (2실) | 요금: 317000
  - 2026년 07월 21일 (화요일) | 콘도 패밀리 트윈 | 예약가능 (6실) | 요금: 317000
  - 2026년 07월 21일 (화요일) | 클린 로얄 A형 | 예약가능 (1실) | 요금: 624000
  - 2026년 07월 21일 (화요일) | 클린 로얄 B형 | 예약가능 (1실) | 요금: 624000
  - 2026년 07월 21일 (화요일) | 클린 스위트 더블 | 예약가능 (9실) | 요금: 349000
  - 2026년 07월 21일 (화요일) | 클린 스위트 멀티 | 예약가능 (5실) | 요금: 349000
  - 2026년 07월 21일 (화요일) | 클린 패밀리 분리형 | 예약가능 (3실) | 요금: 317000
  - 2026년 07월 21일 (화요일) | 클린 패밀리 원룸형 | 예약가능 (2실) | 요금: 317000
  - 2026년 07월 22일 (수요일) | 캐릭터 스위트 말랑이 | 예약가능 (1실) | 요금: 410000
  - 2026년 07월 22일 (수요일) | 캐릭터 패밀리 빼빼로 A형 | 예약가능 (1실) | 요금: 368000
  - 2026년 07월 22일 (수요일) | 콘도 스위트 트윈 | 예약가능 (5실) | 요금: 359000
  - 2026년 07월 22일 (수요일) | 콘도 패밀리 트윈 | 예약가능 (6실) | 요금: 326000
  - 2026년 07월 22일 (수요일) | 클린 디럭스 더블 | 예약가능 (1실) | 요금: 270000
  - 2026년 07월 22일 (수요일) | 클린 디럭스 트윈 | 예약가능 (4실) | 요금: 270000
  - 2026년 07월 22일 (수요일) | 클린 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 289000
  - 2026년 07월 22일 (수요일) | 클린 디럭스 한실 트윈 | 예약가능 (1실) | 요금: 298000
  - 2026년 07월 22일 (수요일) | 클린 스위트 더블 | 예약가능 (3실) | 요금: 359000
  - 2026년 07월 22일 (수요일) | 클린 스위트 멀티 | 예약가능 (7실) | 요금: 359000
  - 2026년 07월 22일 (수요일) | 클린 패밀리 원룸형 | 예약가능 (1실) | 요금: 326000
  - 2026년 07월 22일 (수요일) | 클린 패밀리 원룸형 배리어프리 | 예약가능 (1실) | 요금: 326000
  - 2026년 07월 23일 (목요일) | 캐릭터 패밀리 빼빼로 A형 | 예약가능 (1실) | 요금: 382000
  - 2026년 07월 23일 (목요일) | 콘도 스위트 더블 | 예약가능 (1실) | 요금: 372000
  - 2026년 07월 23일 (목요일) | 콘도 스위트 트윈 | 예약가능 (1실) | 요금: 372000
  - 2026년 07월 23일 (목요일) | 클린 디럭스 트윈 | 예약가능 (1실) | 요금: 284000
  - 2026년 07월 23일 (목요일) | 클린 스위트 멀티 | 예약가능 (1실) | 요금: 372000
  - 2026년 07월 23일 (목요일) | 클린 패밀리 원룸형 배리어프리 | 예약가능 (1실) | 요금: 340000
  - 2026년 07월 24일 (금요일) | 콘도 스위트 더블 | 예약가능 (1실) | 요금: 456000
  - 2026년 07월 24일 (금요일) | 콘도 패밀리 트윈 | 예약가능 (1실) | 요금: 424000
  - 2026년 07월 24일 (금요일) | 콘도 프레지덴셜 트윈 | 예약가능 (1실) | 요금: 591000
  - 2026년 07월 24일 (금요일) | 클린 디럭스 더블 | 예약가능 (1실) | 요금: 368000
  - 2026년 07월 24일 (금요일) | 클린 디럭스 트윈 | 예약가능 (1실) | 요금: 368000
  - 2026년 07월 24일 (금요일) | 클린 로얄 B형 | 예약가능 (1실) | 요금: 731000
  - 2026년 07월 24일 (금요일) | 클린 스위트 더블 | 예약가능 (2실) | 요금: 456000
  - 2026년 07월 24일 (금요일) | 클린 스위트 멀티 | 예약가능 (2실) | 요금: 456000
  - 2026년 07월 24일 (금요일) | 클린 스위트 트윈 | 예약가능 (1실) | 요금: 456000
  - 2026년 07월 24일 (금요일) | 클린 패밀리 분리형 | 예약가능 (2실) | 요금: 424000
  - 2026년 07월 24일 (금요일) | 클린 프레지덴셜 패밀리트윈 | 예약가능 (1실) | 요금: 591000
  - 2026년 07월 25일 (토요일) | 클린 디럭스 트윈 | 예약가능 (1실) | 요금: 396000
  - 2026년 07월 26일 (일요일) | 캐릭터 패밀리 빼빼로 B형 | 예약가능 (1실) | 요금: 549000
  - 2026년 07월 26일 (일요일) | 콘도 스위트 트윈 | 예약가능 (1실) | 요금: 521000
  - 2026년 07월 26일 (일요일) | 클린 로얄 B형 | 예약가능 (1실) | 요금: 982000
  - 2026년 07월 26일 (일요일) | 클린 스위트 더블 | 예약가능 (1실) | 요금: 521000
  - 2026년 07월 26일 (일요일) | 클린 스위트 멀티 | 예약가능 (2실) | 요금: 521000
  - 2026년 07월 26일 (일요일) | 클린 스위트 트윈 | 예약가능 (1실) | 요금: 521000
  - 2026년 07월 26일 (일요일) | 클린 패밀리 분리형 | 예약가능 (1실) | 요금: 470000
  - 2026년 07월 27일 (월요일) | 콘도 패밀리 트윈 | 예약가능 (1실) | 요금: 470000
  - 2026년 07월 27일 (월요일) | 클린 로얄 B형 | 예약가능 (1실) | 요금: 982000
  - 2026년 07월 27일 (월요일) | 클린 스위트 더블 | 예약가능 (1실) | 요금: 521000
  - 2026년 07월 27일 (월요일) | 클린 스위트 멀티 | 예약가능 (1실) | 요금: 521000
  - 2026년 07월 28일 (화요일) | 캐릭터 패밀리 말랑이 B형 | 예약가능 (1실) | 요금: 549000
  - 2026년 07월 28일 (화요일) | 클린 디럭스 트윈 | 예약가능 (1실) | 요금: 386000
  - 2026년 07월 28일 (화요일) | 클린 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 414000
  - 2026년 07월 28일 (화요일) | 클린 디럭스 한실 트윈 | 예약가능 (1실) | 요금: 428000
  - 2026년 07월 29일 (수요일) | 콘도 패밀리 트윈 | 예약가능 (2실) | 요금: 470000
  - 2026년 07월 29일 (수요일) | 클린 디럭스 더블 | 예약가능 (1실) | 요금: 386000
  - 2026년 07월 29일 (수요일) | 클린 디럭스 트윈 | 예약가능 (1실) | 요금: 386000
  - 2026년 07월 29일 (수요일) | 클린 디럭스 패밀리트윈 | 예약가능 (1실) | 요금: 414000
  - 2026년 07월 29일 (수요일) | 클린 패밀리 원룸형 | 예약가능 (1실) | 요금: 470000
  - 2026년 07월 30일 (목요일) | 클린 패밀리 원룸형 | 예약가능 (1실) | 요금: 479000

■ 지점명: 롯데리조트 속초 (강원)
  - 2026년 07월 13일 (월요일) | 콘도 디럭스 더블 배리어프리 | 예약가능 (2실) | 요금: 302000
  - 2026년 07월 14일 (화요일) | 슈페리어 스위트 with Tempur | 예약가능 (1실) | 요금: 498000
  - 2026년 07월 14일 (화요일) | 캐릭터 패밀리 로티&로리 | 예약가능 (1실) | 요금: 358000
  - 2026년 07월 14일 (화요일) | 콘도 디럭스 더블 배리어프리 | 예약가능 (1실) | 요금: 293000
