[롯데] 2026년 07월 예약가능 잔여객실 현황
수집일시: 2026-06-28 10:04
==================================================

■ 지점명: 롯데리조트 부여 (충청)
  - 2026년 07월 01일 (수요일) | C 스위트(D) | 예약가능 (3실)
  - 2026년 07월 01일 (수요일) | C 스위트(T) | 예약가능 (3실)
  - 2026년 07월 01일 (수요일) | C 훼미리(D) | 예약가능 (4실)
  - 2026년 07월 01일 (수요일) | C 훼미리(T) | 예약가능 (4실)
  - 2026년 07월 01일 (수요일) | C프레지덴셜(T) | 예약가능 (2실)
  - 2026년 07월 01일 (수요일) | H 스위트(D) | 예약가능 (2실)
  - 2026년 07월 01일 (수요일) | H 스위트(M) | 예약가능 (12실)
  - 2026년 07월 01일 (수요일) | H 스위트(T) | 예약가능 (2실)
  - 2026년 07월 01일 (수요일) | H 프레지덴셜(F) | 예약가능 (1실)
  - 2026년 07월 01일 (수요일) | H 훼미리(H) | 예약가능 (1실)
  - 2026년 07월 01일 (수요일) | H 훼미리(T) | 예약가능 (5실)
  - 2026년 07월 02일 (목요일) | C 훼미리(D) | 예약가능 (1실)
  - 2026년 07월 02일 (목요일) | C프레지덴셜(T) | 예약가능 (3실)
  - 2026년 07월 02일 (목요일) | H 디럭스(D) | 예약가능 (1실)
  - 2026년 07월 02일 (목요일) | H 스위트(M) | 예약가능 (5실)
  - 2026년 07월 02일 (목요일) | H 훼미리(F) | 예약가능 (1실)
  - 2026년 07월 02일 (목요일) | H 훼미리(T) | 예약가능 (1실)
  - 2026년 07월 03일 (금요일) | C 훼미리(T) | 예약가능 (11실)
  - 2026년 07월 03일 (금요일) | H 훼미리(F) | 예약가능 (5실)
  - 2026년 07월 04일 (토요일) | C 스위트(D) | 예약가능 (11실)
  - 2026년 07월 04일 (토요일) | C 스위트(T) | 예약가능 (6실)
  - 2026년 07월 04일 (토요일) | C 훼미리(D) | 예약가능 (8실)
  - 2026년 07월 04일 (토요일) | C프레지덴셜(T) | 예약가능 (4실)
  - 2026년 07월 04일 (토요일) | H 디럭스(T) | 예약가능 (9실)
  - 2026년 07월 04일 (토요일) | H 스위트(D) | 예약가능 (9실)
  - 2026년 07월 04일 (토요일) | 디럭스 한실 트윈 | 예약가능 (4실)
  - 2026년 07월 05일 (일요일) | C 스위트(D) | 예약가능 (7실)
  - 2026년 07월 05일 (일요일) | C 스위트(T) | 예약가능 (11실)
  - 2026년 07월 05일 (일요일) | C 훼미리(D) | 예약가능 (4실)
  - 2026년 07월 05일 (일요일) | C 훼미리(T) | 예약가능 (1실)
  - 2026년 07월 05일 (일요일) | C프레지덴셜(T) | 예약가능 (3실)
  - 2026년 07월 05일 (일요일) | H 디럭스(F) | 예약가능 (6실)
  - 2026년 07월 05일 (일요일) | H 디럭스(T) | 예약가능 (4실)
  - 2026년 07월 05일 (일요일) | H 스위트(D) | 예약가능 (6실)
  - 2026년 07월 05일 (일요일) | H 스위트(M) | 예약가능 (17실)
  - 2026년 07월 05일 (일요일) | H 스위트(T) | 예약가능 (8실)
  - 2026년 07월 05일 (일요일) | H 훼미리(T) | 예약가능 (7실)
  - 2026년 07월 05일 (일요일) | 디럭스 한실 트윈 | 예약가능 (4실)
  - 2026년 07월 06일 (월요일) | C 스위트(D) | 예약가능 (4실)
  - 2026년 07월 06일 (월요일) | C 스위트(T) | 예약가능 (4실)
  - 2026년 07월 06일 (월요일) | C 훼미리(D) | 예약가능 (3실)
  - 2026년 07월 06일 (월요일) | C 훼미리(T) | 예약가능 (5실)
  - 2026년 07월 06일 (월요일) | C프레지덴셜(T) | 예약가능 (4실)
  - 2026년 07월 06일 (월요일) | H 디럭스(T) | 예약가능 (8실)
  - 2026년 07월 06일 (월요일) | H 스위트(D) | 예약가능 (3실)
  - 2026년 07월 06일 (월요일) | H 스위트(M) | 예약가능 (8실)
