[롯데] 2026년 08월 예약가능 잔여객실 현황
수집일시: 2026-07-14 18:05
==================================================

■ 지점명: 롯데리조트 부여 (충청)
  - 2026년 08월 02일 (일요일) | 캐릭터 스위트 빼빼로 | 예약가능 (1실) | 요금: 624000
  - 2026년 08월 02일 (일요일) | 클린 디럭스 트윈 | 예약가능 (3실) | 요금: 391000
  - 2026년 08월 03일 (월요일) | 콘도 패밀리 트윈 | 예약가능 (1실) | 요금: 428000
  - 2026년 08월 03일 (월요일) | 클린 디럭스 트윈 | 예약가능 (1실) | 요금: 372000
  - 2026년 08월 04일 (화요일) | 콘도 스위트 더블 | 예약가능 (1실) | 요금: 442000
  - 2026년 08월 04일 (화요일) | 클린 디럭스 트윈 | 예약가능 (6실) | 요금: 354000
  - 2026년 08월 05일 (수요일) | 캐릭터 스위트 말랑이 | 예약가능 (2실) | 요금: 493000
  - 2026년 08월 05일 (수요일) | 콘도 스위트 트윈 | 예약가능 (1실) | 요금: 442000
  - 2026년 08월 05일 (수요일) | 콘도 프레지덴셜 트윈 | 예약가능 (1실) | 요금: 577000
  - 2026년 08월 05일 (수요일) | 클린 디럭스 더블 | 예약가능 (2실) | 요금: 354000
  - 2026년 08월 05일 (수요일) | 클린 디럭스 트윈 | 예약가능 (8실) | 요금: 354000
  - 2026년 08월 05일 (수요일) | 클린 로얄 B형 | 예약가능 (1실) | 요금: 717000
  - 2026년 08월 05일 (수요일) | 클린 스위트 더블 | 예약가능 (2실) | 요금: 442000
  - 2026년 08월 05일 (수요일) | 클린 스위트 트윈 | 예약가능 (1실) | 요금: 442000
  - 2026년 08월 05일 (수요일) | 클린 패밀리 원룸형 | 예약가능 (1실) | 요금: 410000
  - 2026년 08월 06일 (목요일) | 콘도 프레지덴셜 트윈 | 예약가능 (1실) | 요금: 577000
  - 2026년 08월 06일 (목요일) | 클린 스위트 더블 | 예약가능 (1실) | 요금: 442000
  - 2026년 08월 07일 (금요일) | 콘도 스위트 트윈 | 예약가능 (2실) | 요금: 447000
  - 2026년 08월 07일 (금요일) | 콘도 패밀리 더블 | 예약가능 (1실) | 요금: 414000
  - 2026년 08월 07일 (금요일) | 클린 디럭스 트리플 | 예약가능 (1실) | 요금: 377000
  - 2026년 08월 07일 (금요일) | 클린 디럭스 트윈 | 예약가능 (1실) | 요금: 359000
  - 2026년 08월 08일 (토요일) | 콘도 스위트 더블 | 예약가능 (1실) | 요금: 521000
