[롯데] 2026년 09월 예약가능 잔여객실 현황
수집일시: 2026-07-14 18:05
==================================================

■ 지점명: 롯데리조트 부여 (충청)
  - 2026년 09월 01일 (화요일) | 캐릭터 스위트 말랑이 | 예약가능 (1실) | 요금: 287850
  - 2026년 09월 01일 (화요일) | 캐릭터 스위트 빼빼로 | 예약가능 (1실) | 요금: 287850
  - 2026년 09월 01일 (화요일) | 캐릭터 패밀리 말랑이 A형 | 예약가능 (1실) | 요금: 261250
  - 2026년 09월 01일 (화요일) | 캐릭터 패밀리 말랑이 B형 | 예약가능 (1실) | 요금: 261250
  - 2026년 09월 01일 (화요일) | 캐릭터 패밀리 빼빼로 A형 | 예약가능 (1실) | 요금: 261250
  - 2026년 09월 01일 (화요일) | 캐릭터 패밀리 빼빼로 B형 | 예약가능 (1실) | 요금: 261250
  - 2026년 09월 01일 (화요일) | 콘도 스위트 트윈 | 예약가능 (6실) | 요금: 243200
  - 2026년 09월 01일 (화요일) | 콘도 패밀리 더블 | 예약가능 (3실) | 요금: 226100
  - 2026년 09월 01일 (화요일) | 콘도 패밀리 트윈 | 예약가능 (7실) | 요금: 226100
  - 2026년 09월 01일 (화요일) | 콘도 프레지덴셜 트윈 | 예약가능 (3실) | 요금: 366700
  - 2026년 09월 01일 (화요일) | 클린 디럭스 더블 | 예약가능 (3실) | 요금: 199500
  - 2026년 09월 01일 (화요일) | 클린 디럭스 트리플 | 예약가능 (2실) | 요금: 208050
  - 2026년 09월 01일 (화요일) | 클린 디럭스 트윈 | 예약가능 (7실) | 요금: 199500
  - 2026년 09월 01일 (화요일) | 클린 디럭스 패밀리트윈 | 예약가능 (7실) | 요금: 208050
  - 2026년 09월 01일 (화요일) | 클린 디럭스 한실 트윈 | 예약가능 (4실) | 요금: 212800
  - 2026년 09월 01일 (화요일) | 클린 로얄 A형 | 예약가능 (1실) | 요금: 455050
  - 2026년 09월 01일 (화요일) | 클린 로얄 B형 | 예약가능 (2실) | 요금: 455050
  - 2026년 09월 01일 (화요일) | 클린 패밀리 분리형 | 예약가능 (10실) | 요금: 226100
  - 2026년 09월 01일 (화요일) | 클린 패밀리 원룸형 | 예약가능 (3실) | 요금: 226100
  - 2026년 09월 01일 (화요일) | 클린 프레지덴셜 패밀리트윈 | 예약가능 (2실) | 요금: 366700
  - 2026년 09월 02일 (수요일) | 캐릭터 스위트 말랑이 | 예약가능 (1실) | 요금: 287850
  - 2026년 09월 02일 (수요일) | 캐릭터 스위트 빼빼로 | 예약가능 (1실) | 요금: 287850
  - 2026년 09월 02일 (수요일) | 캐릭터 패밀리 말랑이 A형 | 예약가능 (1실) | 요금: 261250
  - 2026년 09월 02일 (수요일) | 캐릭터 패밀리 말랑이 B형 | 예약가능 (1실) | 요금: 261250
