[리솜] 2026년 08월 예약가능 잔여객실 현황
수집일시: 2026-06-28 10:02
==================================================

■ 지점명: 스플라스 덕산 (충청)
  - 2026년 08월 11일 (화요일) | G50 플렉스 클린 | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | G50 플렉스 클린 | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | S20 스테이 케어룸 | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | S20 스테이 클린A | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | S20 플렉스 클린 | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | S20 플렉스 클린 케어룸 | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | S25 스테이 | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | S25 스테이 클린A | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | S25 플렉스 클린 | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | S30 스테이 | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | S30 스테이 클린 | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | S30 플렉스 클린A | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | S30 플렉스 클린B | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | S30 플렉스 클린C | 예약가능 (1실)
  - 2026년 08월 17일 (월요일) | S30 플렉스C | 예약가능 (1실)
  - 2026년 08월 18일 (화요일) | G40 스테이 | 예약가능 (1실)
  - 2026년 08월 18일 (화요일) | G40 플렉스 클린 | 예약가능 (1실)
  - 2026년 08월 18일 (화요일) | G50 스테이 | 예약가능 (1실)
  - 2026년 08월 18일 (화요일) | G50 플렉스 클린 | 예약가능 (1실)
  - 2026년 08월 18일 (화요일) | S20 스테이 | 예약가능 (1실)
  - 2026년 08월 18일 (화요일) | S20 스테이 케어룸 | 예약가능 (1실)
  - 2026년 08월 18일 (화요일) | S20 스테이 클린A | 예약가능 (1실)
  - 2026년 08월 18일 (화요일) | S20 스테이 클린B | 예약가능 (1실)
  - 2026년 08월 18일 (화요일) | S20 플렉스 클린 | 예약가능 (1실)
  - 2026년 08월 18일 (화요일) | S20 플렉스 클린 케어룸 | 예약가능 (1실)
  - 2026년 08월 18일 (화요일) | S25 스테이 | 예약가능 (1실)
  - 2026년 08월 18일 (화요일) | S25 스테이 클린A | 예약가능 (1실)
