[소노] 2026년 08월 예약가능 잔여객실 현황
수집일시: 2026-06-30 18:02
==================================================

■ 지점명: 소노문 해운대 (경상)
  - 2026년 08월 09일 (일요일) | 스탠다드 | 예약가능 (62실)
  - 2026년 08월 10일 (월요일) | 스탠다드 | 예약가능 (60실)
  - 2026년 08월 11일 (화요일) | 스탠다드 | 예약가능 (61실)
  - 2026년 08월 14일 (금요일) | 스탠다드 | 예약가능 (61실)
  - 2026년 08월 17일 (월요일) | 스탠다드 | 예약가능 (63실)
  - 2026년 08월 19일 (수요일) | 스탠다드 | 예약가능 (70실)
  - 2026년 08월 20일 (목요일) | 스탠다드 | 예약가능 (55실)
  - 2026년 08월 21일 (금요일) | 스탠다드 | 예약가능 (81실)
  - 2026년 08월 22일 (토요일) | 스탠다드 | 예약가능 (83실)
  - 2026년 08월 23일 (일요일) | 스탠다드 | 예약가능 (97실)
  - 2026년 08월 24일 (월요일) | 스탠다드 | 예약가능 (58실)
  - 2026년 08월 25일 (화요일) | 스탠다드 | 예약가능 (58실)
  - 2026년 08월 26일 (수요일) | 스탠다드 | 예약가능 (99실)
  - 2026년 08월 27일 (목요일) | 스탠다드 | 예약가능 (98실)
  - 2026년 08월 28일 (금요일) | 스탠다드 | 예약가능 (65실)
  - 2026년 08월 29일 (토요일) | 스탠다드 | 예약가능 (55실)
  - 2026년 08월 30일 (일요일) | 스탠다드 | 예약가능 (100실)
  - 2026년 08월 31일 (월요일) | 스탠다드 | 예약가능 (105실)

■ 지점명: 소노벨 단양 East (충청)
  - 2026년 08월 09일 (일요일) | 스위트 | 예약가능 (58실)
  - 2026년 08월 09일 (일요일) | 패밀리 | 예약가능 (110실)
  - 2026년 08월 10일 (월요일) | 스위트 | 예약가능 (58실)
  - 2026년 08월 10일 (월요일) | 패밀리 | 예약가능 (128실)
  - 2026년 08월 11일 (화요일) | 스위트 | 예약가능 (64실)
  - 2026년 08월 11일 (화요일) | 패밀리 | 예약가능 (52실)
  - 2026년 08월 11일 (화요일) | 패밀리 | 예약가능 (115실)
  - 2026년 08월 12일 (수요일) | 스위트 | 예약가능 (63실)
  - 2026년 08월 12일 (수요일) | 패밀리 | 예약가능 (114실)
  - 2026년 08월 13일 (목요일) | 스위트 | 예약가능 (57실)
  - 2026년 08월 13일 (목요일) | 패밀리 | 예약가능 (103실)
  - 2026년 08월 17일 (월요일) | 패밀리 | 예약가능 (51실)
  - 2026년 08월 17일 (월요일) | 패밀리 | 예약가능 (106실)
  - 2026년 08월 18일 (화요일) | 스위트 | 예약가능 (64실)
  - 2026년 08월 18일 (화요일) | 패밀리 | 예약가능 (56실)
  - 2026년 08월 18일 (화요일) | 패밀리 | 예약가능 (114실)
  - 2026년 08월 19일 (수요일) | 스위트 | 예약가능 (73실)
  - 2026년 08월 19일 (수요일) | 패밀리 | 예약가능 (56실)
  - 2026년 08월 19일 (수요일) | 패밀리 | 예약가능 (117실)
  - 2026년 08월 20일 (목요일) | 스위트 | 예약가능 (66실)
  - 2026년 08월 20일 (목요일) | 패밀리 | 예약가능 (56실)
  - 2026년 08월 20일 (목요일) | 패밀리 | 예약가능 (147실)
  - 2026년 08월 21일 (금요일) | 스위트 | 예약가능 (55실)
  - 2026년 08월 21일 (금요일) | 패밀리 | 예약가능 (134실)
  - 2026년 08월 22일 (토요일) | 패밀리 | 예약가능 (114실)
  - 2026년 08월 23일 (일요일) | 스위트 | 예약가능 (97실)
  - 2026년 08월 23일 (일요일) | 패밀리 | 예약가능 (53실)
  - 2026년 08월 23일 (일요일) | 패밀리 | 예약가능 (67실)
  - 2026년 08월 24일 (월요일) | 스위트 | 예약가능 (102실)
  - 2026년 08월 24일 (월요일) | 패밀리 | 예약가능 (55실)
  - 2026년 08월 24일 (월요일) | 패밀리 | 예약가능 (70실)
  - 2026년 08월 25일 (화요일) | 스위트 | 예약가능 (102실)
  - 2026년 08월 25일 (화요일) | 패밀리 | 예약가능 (56실)
  - 2026년 08월 25일 (화요일) | 패밀리 | 예약가능 (75실)
  - 2026년 08월 26일 (수요일) | 스위트 | 예약가능 (102실)
  - 2026년 08월 26일 (수요일) | 패밀리 | 예약가능 (75실)
  - 2026년 08월 26일 (수요일) | 패밀리 | 예약가능 (54실)
  - 2026년 08월 27일 (목요일) | 스위트 | 예약가능 (103실)
  - 2026년 08월 27일 (목요일) | 패밀리 | 예약가능 (55실)
  - 2026년 08월 27일 (목요일) | 패밀리 | 예약가능 (73실)
  - 2026년 08월 28일 (금요일) | 패밀리 | 예약가능 (131실)
  - 2026년 08월 28일 (금요일) | 패밀리 | 예약가능 (51실)
  - 2026년 08월 30일 (일요일) | 스위트 | 예약가능 (102실)
  - 2026년 08월 30일 (일요일) | 패밀리 | 예약가능 (55실)
  - 2026년 08월 30일 (일요일) | 패밀리 | 예약가능 (158실)
  - 2026년 08월 31일 (월요일) | 스위트 | 예약가능 (102실)
  - 2026년 08월 31일 (월요일) | 패밀리 | 예약가능 (158실)
  - 2026년 08월 31일 (월요일) | 패밀리 | 예약가능 (55실)

■ 지점명: 소노벨 델피노 East (강원)
  - 2026년 08월 10일 (월요일) | 스위트 | 예약가능 (53실)
  - 2026년 08월 11일 (화요일) | 스위트 | 예약가능 (55실)
  - 2026년 08월 12일 (수요일) | 스위트 | 예약가능 (54실)
