[한화] 2026년 06월 예약가능 잔여객실 현황
수집일시: 2026-06-15 03:21
==================================================

■ 지점명: 경주 에톤 (경상)
  - 2026년 06월 15일 (월요일) | 디럭스 | 예약가능 (4실)
  - 2026년 06월 16일 (화요일) | 디럭스 | 예약가능 (45실)
  - 2026년 06월 16일 (화요일) | 디럭스(호텔형) | 예약가능 (11실)
  - 2026년 06월 17일 (수요일) | 디럭스 | 예약가능 (84실)
  - 2026년 06월 17일 (수요일) | 디럭스(호텔형) | 예약가능 (24실)
  - 2026년 06월 18일 (목요일) | 디럭스 | 예약가능 (30실)
  - 2026년 06월 18일 (목요일) | 디럭스(호텔형) | 예약가능 (3실)
  - 2026년 06월 19일 (금요일) | 디럭스 | 예약가능 (4실)
  - 2026년 06월 19일 (금요일) | 디럭스(호텔형) | 예약가능 (1실)
  - 2026년 06월 21일 (일요일) | 디럭스 | 예약가능 (30실)
  - 2026년 06월 21일 (일요일) | 디럭스(호텔형) | 예약가능 (39실)
  - 2026년 06월 22일 (월요일) | 디럭스 | 예약가능 (59실)
  - 2026년 06월 22일 (월요일) | 디럭스(호텔형) | 예약가능 (28실)
  - 2026년 06월 23일 (화요일) | 디럭스 | 예약가능 (75실)
  - 2026년 06월 23일 (화요일) | 디럭스(호텔형) | 예약가능 (47실)
  - 2026년 06월 23일 (화요일) | 플래티넘 | 예약가능 (1실)
  - 2026년 06월 24일 (수요일) | 디럭스 | 예약가능 (34실)
  - 2026년 06월 24일 (수요일) | 디럭스(호텔형) | 예약가능 (6실)
  - 2026년 06월 24일 (수요일) | 플래티넘 | 예약가능 (1실)
  - 2026년 06월 25일 (목요일) | 디럭스 | 예약가능 (32실)
  - 2026년 06월 25일 (목요일) | 디럭스(호텔형) | 예약가능 (7실)
  - 2026년 06월 25일 (목요일) | 플래티넘 | 예약가능 (1실)
  - 2026년 06월 26일 (금요일) | 디럭스 | 예약가능 (27실)
  - 2026년 06월 26일 (금요일) | 디럭스(호텔형) | 예약가능 (5실)
  - 2026년 06월 27일 (토요일) | 디럭스(호텔형) | 예약가능 (1실)
  - 2026년 06월 28일 (일요일) | 디럭스 | 예약가능 (37실)
  - 2026년 06월 28일 (일요일) | 디럭스(호텔형) | 예약가능 (42실)
  - 2026년 06월 29일 (월요일) | 디럭스 | 예약가능 (41실)
  - 2026년 06월 29일 (월요일) | 디럭스(호텔형) | 예약가능 (39실)
  - 2026년 06월 30일 (화요일) | 디럭스 | 예약가능 (70실)
  - 2026년 06월 30일 (화요일) | 디럭스(호텔형) | 예약가능 (49실)
  - 2026년 06월 30일 (화요일) | 플래티넘 | 예약가능 (1실)

■ 지점명: 더플라자 호텔 (경기/서울)
  - 2026년 06월 21일 (일요일) | 디럭스 룸 (킹) | 예약가능 (30실)
  - 2026년 06월 21일 (일요일) | 디럭스 룸 (트윈) | 예약가능 (30실)
