============================================================
  소노호텔앤리조트 잔여객실 현황
  수집일시: 2026-06-13 05:03
  수집건수: 2292건
============================================================

■ 소노문 해운대
  2026.06.16(화) 스탠다드 | 예약가능수: 52실
  2026.06.16(화) 스탠다드 | 예약가능수: 82실
  2026.06.23(화) 스탠다드 | 예약가능수: 60실
  2026.06.24(수) 스탠다드 | 예약가능수: 74실
  2026.06.28(일) 스탠다드 | 예약가능수: 81실
  2026.06.29(월) 스탠다드 | 예약가능수: 66실
  2026.06.30(화) 스탠다드 | 예약가능수: 78실
  2026.07. 2(목) 스탠다드 | 예약가능수: 68실
  2026.07. 5(일) 스탠다드 | 예약가능수: 53실
  2026.07. 6(월) 스탠다드 | 예약가능수: 61실
  2026.07. 7(화) 스탠다드 | 예약가능수: 71실
  2026.07. 8(수) 스탠다드 | 예약가능수: 57실
  2026.07. 9(목) 스탠다드 | 예약가능수: 53실
  2026.07.13(월) 스탠다드 | 예약가능수: 65실
  2026.07.13(월) 스탠다드 | 예약가능수: 50실
  2026.07.14(화) 스탠다드 | 예약가능수: 64실
  2026.07.15(수) 스탠다드 | 예약가능수: 64실
  2026.07.21(화) 스탠다드 | 예약가능수: 55실
  2026.08.23(일) 스탠다드 | 예약가능수: 58실
  2026.08.24(월) 스탠다드 | 예약가능수: 59실
  2026.08.25(화) 스탠다드 | 예약가능수: 60실
  2026.08.26(수) 스탠다드 | 예약가능수: 60실
  2026.08.27(목) 스탠다드 | 예약가능수: 61실
  2026.08.30(일) 스탠다드 | 예약가능수: 58실

■ 소노벨 단양 East
  2026.06.14(일) 스위트 | 예약가능수: 63실
  2026.06.15(월) 스위트 | 예약가능수: 70실
  2026.06.16(화) 패밀리 | 예약가능수: 121실
  2026.06.16(화) 패밀리 | 예약가능수: 55실
  2026.06.16(화) 스위트 | 예약가능수: 85실
  2026.06.18(목) 패밀리 | 예약가능수: 59실
  2026.06.19(금) 패밀리 | 예약가능수: 81실
  2026.06.22(월) 스위트 | 예약가능수: 92실
  2026.06.23(화) 패밀리 | 예약가능수: 52실
  2026.06.23(화) 패밀리 | 예약가능수: 147실
  2026.06.23(화) 스위트 | 예약가능수: 97실
  2026.06.24(수) 스위트 | 예약가능수: 96실
  2026.06.24(수) 패밀리 | 예약가능수: 119실
  2026.06.24(수) 패밀리 | 예약가능수: 53실
  2026.06.25(목) 스위트 | 예약가능수: 81실
  2026.06.25(목) 패밀리 | 예약가능수: 52실
  2026.06.25(목) 패밀리 | 예약가능수: 98실
  2026.06.26(금) 스위트 | 예약가능수: 62실
  2026.06.26(금) 패밀리 | 예약가능수: 52실
  2026.06.28(일) 스위트 | 예약가능수: 90실
  2026.06.28(일) 패밀리 | 예약가능수: 112실
  2026.06.29(월) 스위트 | 예약가능수: 61실
  2026.06.29(월) 패밀리 | 예약가능수: 102실
  2026.06.30(화) 패밀리 | 예약가능수: 141실
  2026.06.30(화) 패밀리 | 예약가능수: 53실
  2026.07. 2(목) 패밀리 | 예약가능수: 73실
  2026.07. 2(목) 스위트 | 예약가능수: 89실
  2026.07. 3(금) 패밀리 | 예약가능수: 107실
  2026.07. 5(일) 패밀리 | 예약가능수: 52실
  2026.07. 5(일) 패밀리 | 예약가능수: 93실
  2026.07. 5(일) 스위트 | 예약가능수: 87실
  2026.07. 6(월) 패밀리 | 예약가능수: 119실
  2026.07. 6(월) 스위트 | 예약가능수: 58실
  2026.07. 7(화) 패밀리 | 예약가능수: 152실
  2026.07. 7(화) 스위트 | 예약가능수: 88실
  2026.07. 8(수) 스위트 | 예약가능수: 90실
  2026.07. 8(수) 패밀리 | 예약가능수: 155실
  2026.07.25(토) 패밀리 | 예약가능수: 72실
